SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
GLOBAL OCEAN AND AIR CARGO SERVICES,BEER,1732.7,237.94,1494.76
VINTAGE WINE ESTATES INC,WINE,1691.72,969.72,722.0
THE TRITON COLLECTION INC,WINE,1685.31,135.29,1550.02
DON SEBASTIANI & SONS,WINE,1682.1200000000001,715.37,966.75
WI INC,WINE,1681.76,433.0,1248.76
NEW BELGIUM BREWING INC,KEGS,1641.0,0.0,1641.0
DC BRAU BREWING LLC,KEGS,1587.0,0.0,1587.0
BROWN-FORMAN BEVERAGES WORLDWIDE,BEER,1579.92,218.67,1361.25
DISARONNO INTERNATIONAL LLC,LIQUOR,1569.92,1501.92,68.0
OPICI FAMILY DISTRIBUTING OF MD,LIQUOR,1559.24,1236.24,323.0
NARRAGANSETT BREWING COMPANY,BEER,1520.67,15.25,1505.42
SAZERAC CO,NON-ALCOHOL,1512.22,1468.22,44.0
FOLEY FAMILY WINES INC,WINE,1508.85,1013.85,495.0
COPPER CANE LLC,WINE,1469.48,662.48,807.0
UNITED STATES DISTILLED PRODUCTS,LIQUOR,1436.73,1412.73,24.0
MHW LTD,LIQUOR,1414.24,896.24,518.0
KING ESTATE WINERY,WINE,1340.59,811.59,529.0
WINE BRIDGE IMPORTS INC,WINE,1280.04,285.37,994.67
PARK STREET IMPORTS LLC,LIQUOR,1233.54,1149.71,83.83
BINDING BRAUEREI USA INC,BEER,1206.51,99.92999999999999,1106.58
WESTERN SPIRITS BEVERAGE COMPANY LLC,LIQUOR,1176.73,1162.73,14.0
BUCK DISTRIBUTING COMPANY INC,KEGS,1160.0,0.0,1160.0
NICHE IMPORTERS,WINE,1158.28,662.78,495.5
"THE COUNTRY VINTNER, LLC DBA WINEBOW",LIQUOR,1155.57,726.74,428.83
INFINIUM SPIRITS INC,LIQUOR,1147.75,1106.75,41.0
RUSSIAN STANDARD VODKA (USA) INC,LIQUOR,1135.07,1096.07,39.0
ALLAGASH BREWING COMPANY,KEGS,1128.0,0.0,1128.0
INTERNATIONAL CELLARS LLC,WINE,1022.46,31.46,991.0
HUB WINE CORPORATION,WINE,1021.58,9.58,1012.0
O'NEILL BEVERAGES CO LLC,WINE,1009.8000000000001,286.96,722.84
ST RICE WINE INC,WINE,1007.6800000000001,103.67999999999999,904.0
REPUBLIC NATIONAL DISTRIBUTING CO,NON-ALCOHOL,1005.58,497.58,508.0
LAPHAM SALES & MARKETING DBA LAPHAM,LIQUOR,975.91,965.91,10.0
WAGNER WINE COMPANY LLC,WINE,974.09,424.17,549.92
AMERICAN BEVERAGE CORPORATION,BEER,950.52,619.52,331.0
NEGUS BREWING COMPANY LLC,BEER,937.38,122.63,814.75
MACCHU PISCO LLC,LIQUOR,935.08,484.08,451.0
PIPE CREEK WINES LLC,WINE,918.03,253.10999999999999,664.92
GLOBAL OCEAN AND AIR CARGO SERVICES,WINE,914.9499999999999,220.95000000000002,694.0
UNITED STATES BEVERAGE,BEER,907.99,164.24,743.75
SERRALLES USA LLC,LIQUOR,907.0,788.0,119.0
SAGAMORE WHISKEY LLC,LIQUOR,903.85,813.85,90.0
LUXCO SPIRITED BRANDS,WINE,895.22,583.05,312.17
BBL INC,BEER,892.48,33.65,858.83
EASTERN LIQUOR DISTRIBUTORS INC,BEER,888.32,143.65,744.67
E M D SALES INC,BEER,884.5,19.5,865.0
SLIGO MILL BREWING LLC,BEER,882.39,876.39,6.0
ROOTS RUN DEEP LLC,WINE,862.11,422.19,439.92
OSLO ENTERPRISE,WINE,852.62,96.78999999999999,755.83
FREE RUN WINE MERCHANTS LLC,WINE,850.88,1.96,848.92
CHEVAL QUANCARD,WINE,849.85,835.85,14.0
FERRARI CARANO WINERY,WINE,837.05,492.05,345.0
STEFANO INCORPORATED,LIQUOR,828.18,756.18,72.0
PABST BREWING CO,KEGS,814.0,0.0,814.0
TAP26MD LLC,WINE,799.0,0.0,799.0
FIVE GRAPES LLC,WINE,797.89,57.05,740.84
MACK & SCHUHLE INC,WINE,775.78,10.78,765.0
CHARLES JACQUIN ET CIE INC,LIQUOR,752.15,752.15,0.0
BACKUP BEVERAGE,KEGS,711.0,0.0,711.0
HONIG VINEYARD AND WINERY,WINE,709.97,254.97,455.0
CITIZENS BREWING LLC,BEER,692.95,692.95,0.0
TRICANA SHIPPERS & IMPORT,WINE,672.78,180.45,492.33
POTOMAC SELECTIONS INC,WINE,669.2,260.2,409.0
Default,REF,663.71,663.71,0.0
GOOSE RIDGE LLC,WINE,656.1,11.1,645.0
PARK STREET IMPORTS LLC,WINE,653.45,457.53000000000003,195.92
NORTH LOCK LLC DBA PORT CITY BREWING CO,KEGS,649.0,0.0,649.0
PHILLIPS FARMS LLC,WINE,622.93,286.17,336.76
HEAVEN HILL DISTILLERIES INC,WINE,619.96,523.96,96.0
ROBERT OATLEY VINEYARDS INC,WINE,609.77,55.18,554.59
WASHBURN WINE CO,BEER,607.45,38.04,569.41
KYSELA PERE ET FILS LTD,BEER,600.83,34.04,566.79
TESTA WINES OF THE WORLD LTD,WINE,593.71,84.88,508.83
LEGENDS LTD,NON-ALCOHOL,584.16,47.16,537.0
CRAFT WINE & SPIRITS OF MARYLAND LLC,LIQUOR,580.98,514.98,66.0
LEGENDS LTD,WINE,556.22,109.97,446.25
DOGFISH HEAD CRAFT BREWERY LLC,LIQUOR,549.01,477.01,72.0
THE WINE SOURCE INC,WINE,545.89,1.8900000000000001,544.0
MILLER BREWING COMPANY,NON-ALCOHOL,545.7,208.2,337.5
RVWC LLC,WINE,524.8,2.9699999999999998,521.83
THE SPANISH WINE IMPORTERS LLC,WINE,522.99,19.990000000000002,503.0
BASQUE BAR LLC,BEER,515.75,0.0,515.75
COASTAL BREWING COMPANY LLC,KEGS,511.0,0.0,511.0
OREGON BREWING COMPANY,BEER,508.99,91.49,417.5
BOORDY VINEYARDS,WINE,501.49,327.57,173.92
LATITUDE BEVERAGE COMPANY,WINE,482.55,22.55,460.0
ELK RUN VINEYARDS,WINE,481.43,270.76,210.67
FREDERICK P WINNER LTD,BEER,478.5,123.54,354.96
DOPS INC,KEGS,476.0,0.0,476.0
DUGGANS DISTILLERS PROD,WINE,461.01,34.26,426.75
ROYAL WINE CORP,LIQUOR,445.8,444.8,1.0
