YEAR,MONTH,ITEM TYPE,RETAIL_SALES,WAREHOUSE_SALES,RETAIL_TRANSFERS,TOTAL_SALES,TXN_COUNT
2020,7,KEGS,0.0,2133.0,0.0,2133.0,205
2020,7,LIQUOR,35431.12,3049.92,32850.99,38481.04,2351
2020,7,NON-ALCOHOL,4527.57,1311.75,1665.0,5839.32,90
2020,7,REF,8.17,0.0,9.0,8.17,1
2020,7,STR_SUPPLIES,81.23,0.0,487.0,81.23,20
2020,7,WINE,25580.35,50569.85,25115.75,76150.2,6761
2020,9,BEER,22353.6,311133.05,19459.0,333486.65,1729
2020,9,KEGS,0.0,2667.0,0.0,2667.0,290
2020,9,LIQUOR,32104.54,3036.67,31996.11,35141.21,2375
2020,9,NON-ALCOHOL,2631.63,927.0,985.66,3558.63,91
2020,9,REF,8.55,0.0,3.0,8.55,1
2020,9,STR_SUPPLIES,77.34,0.0,394.0,77.34,22
2020,9,WINE,24925.19,50375.05,23992.23,75300.24,7052
